Reward Function,Implementation Shortfall
ac_utility,1245734.6784378365
ac_utility,899904.4795927405
ac_utility,902679.2574266642
ac_utility,1062354.7712446302
ac_utility,1209812.294997774
ac_utility,1215588.2075375542
ac_utility,1140060.5007281452
ac_utility,1073114.814200826
ac_utility,1571066.3635314256
ac_utility,1077774.3425173536
ac_utility,954491.3839558065
ac_utility,1231081.0599921048
ac_utility,978149.711262703
ac_utility,766895.1186006442
ac_utility,913787.2296580002
ac_utility,991187.9489570856
ac_utility,1307070.1177424565
ac_utility,777159.2287558988
ac_utility,855464.0385321453
ac_utility,1592256.2877950594
ac_utility,1233694.5241510049
ac_utility,608760.5423765257
ac_utility,1159144.0604564324
ac_utility,1283318.0297324657
ac_utility,1227879.6994385198
ac_utility,1315127.1404066384
ac_utility,1639173.1548792124
ac_utility,1267232.8689336479
ac_utility,1117314.112593457
ac_utility,1397149.6859657168
ac_utility,1248386.1880796626
ac_utility,1226148.447001122
ac_utility,1232034.0981363505
ac_utility,1660057.6300369427
ac_utility,1599360.8393647
ac_utility,1560361.7574916184
ac_utility,1576068.4586198032
ac_utility,1675341.8438063264
ac_utility,1814072.800367877
ac_utility,1664256.9627233073
ac_utility,1752368.9025318846
ac_utility,1784962.6186078489
ac_utility,1799922.30634024
ac_utility,1633066.018584378
ac_utility,1866716.7069000602
ac_utility,1833466.2365088016
ac_utility,2075474.7520984858
ac_utility,1825223.9560099468
ac_utility,1978319.8278798983
ac_utility,2012623.878263332
ac_utility,2095386.9254072085
ac_utility,1972179.1473164782
ac_utility,2372694.2953427285
ac_utility,2235436.9510140046
ac_utility,2358250.637054153
ac_utility,2090638.6593753695
ac_utility,2434171.1297493204
ac_utility,2033454.2736564577
ac_utility,2330452.3067939356
ac_utility,2167966.422901459
ac_utility,2212026.5479732826
ac_utility,2338810.3059660867
ac_utility,2562098.4289905205
ac_utility,2372072.109066382
ac_utility,2374082.8982570916
ac_utility,2352785.3179084733
ac_utility,2241338.8230708092
ac_utility,2256234.93241819
ac_utility,2562500.0
ac_utility,2547941.3732663095
ac_utility,2562500.0
ac_utility,2386034.18281354
ac_utility,2299652.2318883687
ac_utility,2403276.267049499
ac_utility,2562500.0
ac_utility,2483608.6056227684
ac_utility,2461569.651023984
ac_utility,2562500.0
ac_utility,2562500.0
ac_utility,2357631.148783773
ac_utility,2457253.1766639277
ac_utility,2560223.6619338915
ac_utility,2418208.674062133
ac_utility,2562500.0
ac_utility,2562500.0
ac_utility,2433894.542524241
ac_utility,2562500.0
ac_utility,2446239.5941745415
ac_utility,2548651.8898411617
ac_utility,2426289.8861048743
ac_utility,2472599.74517937
ac_utility,2427496.9157229587
ac_utility,2562500.0
ac_utility,2562500.0
ac_utility,2562500.0
ac_utility,2562500.0
ac_utility,2562500.0
ac_utility,2495173.354141377
ac_utility,2562500.0
ac_utility,2562500.0
ac_utility,2486773.644614406
ac_utility,2562500.0
ac_utility,2485157.385155618
ac_utility,2562500.0
ac_utility,2562500.0
ac_utility,2562500.0
ac_utility,2562500.0
ac_utility,2547699.718890682
ac_utility,2500618.0027046427
ac_utility,2562500.0
ac_utility,2562500.0
ac_utility,2562500.0
ac_utility,2562500.0
ac_utility,2466992.2486126497
ac_utility,2562500.0
